iter	Passed	Remaining
0	346	346283
1	350	174978
2	352	117121
3	353	88088
4	355	70693
5	356	59079
6	357	50781
7	359	44552
8	360	39711
9	361	35833
10	363	32659
11	364	30011
12	365	27772
13	367	25850
14	368	24189
15	369	22732
16	373	21611
17	375	20481
18	376	19459
19	378	18542
20	379	17711
21	381	16958
22	383	16271
23	384	15636
24	385	15050
25	387	14504
26	388	14007
27	390	13547
28	391	13121
29	395	12800
30	397	12432
31	399	12080
32	400	11748
33	402	11434
34	403	11137
35	405	10855
36	406	10584
37	407	10328
38	409	10087
39	410	9857
40	412	9645
41	413	9436
42	418	9310
43	420	9131
44	421	8949
45	423	8778
46	425	8619
47	426	8465
48	428	8310
49	429	8160
50	431	8021
51	432	7881
52	433	7748
53	434	7620
54	436	7495
55	437	7375
56	440	7294
57	442	7189
58	444	7082
59	446	6992
60	447	6890
61	449	6796
62	450	6702
63	451	6609
64	453	6519
65	454	6431
66	456	6352
67	457	6270
68	458	6190
69	460	6113
70	464	6077
71	465	6004
72	467	5936
73	468	5866
74	470	5800
75	472	5741
76	473	5681
77	475	5617
78	476	5555
79	478	5499
80	479	5440
81	480	5383
82	481	5319
83	482	5264
84	486	5233
85	487	5185
86	489	5138
87	491	5090
88	494	5058
89	495	5011
90	496	4963
91	498	4916
92	499	4876
93	501	4830
94	502	4787
95	503	4744
96	505	4702
97	506	4660
98	510	4645
99	511	4605
100	513	4567
101	515	4538
102	516	4500
103	518	4463
104	519	4427
105	520	4391
106	522	4357
107	523	4322
108	524	4288
109	525	4254
110	527	4221
111	528	4189
112	530	4167
113	532	4138
114	533	4107
115	535	4078
116	536	4048
117	537	4021
118	539	3991
119	540	3963
120	541	3935
121	542	3907
122	544	3881
123	545	3854
124	546	3828
125	548	3802
126	549	3775
127	550	3752
128	554	3746
129	556	3723
130	558	3702
131	559	3680
132	561	3658
133	562	3635
134	563	3613
135	565	3591
136	566	3569
137	568	3548
138	569	3527
139	570	3506
140	572	3484
141	572	3461
142	574	3440
143	577	3432
144	578	3413
145	580	3395
146	582	3378
147	583	3359
148	584	3340
149	586	3321
150	587	3302
151	588	3284
152	590	3266
153	591	3248
154	592	3230
155	594	3215
156	595	3198
157	596	3181
158	598	3167
159	600	3150
160	601	3133
161	602	3119
162	604	3106
163	606	3093
164	608	3078
165	609	3064
166	611	3049
167	612	3034
168	614	3020
169	615	3005
170	616	2990
171	620	2988
172	622	2974
173	623	2962
174	625	2948
175	626	2934
176	628	2920
177	629	2906
178	630	2893
179	632	2880
180	633	2867
181	634	2853
182	636	2840
183	637	2827
184	638	2814
